"Resolution_Number";"Event_Number";"Behavior_Resolution_Code";"Start_Date";"End_Date";"Expulsion_Service_Flag"
"323375";"184996";"107";"2/15/2007";"2/16/2007";"0"
"323376";"185002";"107";"2/15/2007";"2/16/2007";"0"
"318194";"180001";"107";"1/18/2007";"1/23/2007";"0"
"318332";"180136";"107";"1/18/2007";"1/23/2007";"0"
"318753";"180525";"107";"1/22/2007";"1/23/2007";"0"
"327384";"180138";"107";"1/18/2007";"1/23/2007";"0"
"327611";"180137";"107";"1/18/2007";"1/23/2007";"0"
"319720";"181444";"107";"1/26/2007";"1/29/2007";"0"
"319733";"181455";"107";"1/26/2007";"1/29/2007";"0"
"361834";"221799";"107";"2/11/2008";"2/13/2008";"0"
"361920";"221861";"107";"2/11/2008";"2/13/2008";"0"
"352003";"212078";"107";"11/27/2007";"11/30/2007";"0"
"352277";"212391";"107";"11/28/2007";"11/30/2007";"0"
"352460";"212586";"107";"11/29/2007";"11/30/2007";"0"
"354183";"214210";"107";"11/30/2007";"11/30/2007";"0"
"366959";"226084";"107";"3/7/2008";"3/14/2008";"0"
"367826";"226886";"107";"3/12/2008";"3/14/2008";"0"
"370089";"228976";"107";"3/21/2008";"4/11/2008";"0"
"370739";"229576";"107";"4/3/2008";"4/11/2008";"0"
"370928";"229779";"107";"4/4/2008";"4/11/2008";"0"
"370929";"229780";"107";"4/4/2008";"4/11/2008";"0"
"372043";"230804";"107";"4/4/2008";"4/11/2008";"0"
"320098";"181694";"107";"1/29/2007";"1/30/2007";"0"
"357287";"217281";"107";"1/17/2008";"1/24/2008";"0"
"357290";"217284";"107";"1/17/2008";"1/24/2008";"0"
"405631";"261367";"107";"2/10/2009";"2/11/2009";"0"
"405636";"261372";"107";"2/10/2009";"2/11/2009";"0"
"405641";"261378";"107";"2/10/2009";"2/11/2009";"0"
"405642";"261382";"107";"2/10/2009";"2/11/2009";"0"
"405648";"261387";"107";"2/10/2009";"2/11/2009";"0"
"406379";"262025";"107";"2/10/2009";"2/11/2009";"0"
"385852";"243320";"107";"9/25/2008";"10/1/2008";"0"
"385575";"243019";"107";"9/23/2008";"9/29/2008";"0"
"385878";"243343";"107";"9/25/2008";"9/29/2008";"0"
"357768";"217767";"107";"1/18/2008";"1/28/2008";"0"
"357775";"217775";"107";"1/22/2008";"1/28/2008";"0"
"358326";"218303";"107";"1/24/2008";"1/28/2008";"0"
"365437";"224568";"107";"2/27/2008";"2/29/2008";"0"
"365439";"224571";"107";"2/27/2008";"2/29/2008";"0"
"359473";"219516";"107";"1/31/2008";"2/1/2008";"0"
"359580";"219595";"107";"1/31/2008";"2/1/2008";"0"
"359585";"219601";"107";"1/31/2008";"2/1/2008";"0"
"359646";"219659";"107";"1/31/2008";"2/1/2008";"0"
"359804";"219836";"107";"2/1/2008";"2/1/2008";"0"
"409585";"264854";"107";"3/6/2009";"3/11/2009";"0"
"409593";"264871";"107";"3/6/2009";"3/11/2009";"0"
"443908";"295133";"107";"2/1/2010";"2/4/2010";"0"
"309291";"171071";"107";"11/1/2006";"11/3/2006";"0"
"309367";"171168";"107";"11/1/2006";"11/3/2006";"0"
